@RELATION svmSentimentAnalysis
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {NEGATIVE,POSITIVE}

@DATA
0.253400,0.008967,2.929813,0.298376,0.202709,1.351227,0.010724,0.373042,-30.040396,1.883356,0.162689,-0.474676,-0.323997,0.321226,-0.152214,-0.023765,-0.116569,-0.202885,0.004248,-0.157634,-0.051191,0.014490,0.003904,0.017701,0.022864,0.015831,0.007412,0.009030,0.003526,0.009976,0.010026,0.019618,0.008351,0.012542,0.001898,-0.000203,-0.000156,0.003138,0.002117,0.019852,0.000073,0.002750,-0.131715,-0.048167,-0.015381,0.019663,0.022464,-0.008266,0.011140,0.003192,0.008660,0.003912,0.005107,0.010701,-0.006933,0.000373,0.000020,-0.000282,-0.000777,-0.000519,-0.000074,0.000267,0.000061,0.000168,-0.000427,0.000153,0.000026,-0.000020,0.183064,0.012756,0.350154,0.157878,0.049108,0.798995,0.007780,0.260087,2.752106,1.406264,0.755627,0.637614,0.473156,0.427266,0.346280,0.264751,0.255233,0.186785,0.251437,0.171631,0.202580,0.016103,0.003977,0.018375,0.025360,0.015114,0.007297,0.007433,0.004392,0.012434,0.011362,0.027986,0.011747,0.009553,0.111704,0.011551,0.499863,0.098640,0.046089,0.690311,0.009856,0.186034,1.945702,1.120251,0.611905,0.546657,0.429777,0.395890,0.348604,0.317794,0.283496,0.274154,0.265811,0.224747,0.222830,0.020722,0.004684,0.023290,0.029335,0.018193,0.009964,0.008352,0.005794,0.012252,0.012473,0.030376,0.011052,0.010033,NEGATIVE
0.189789,0.003338,2.956639,0.257658,0.202300,1.067009,0.013861,0.271271,-31.367266,1.643063,0.447721,-0.710705,-0.568009,0.408260,-0.201663,0.128224,-0.104992,-0.183995,0.110408,-0.062061,0.029253,0.012176,0.003455,0.013982,0.023709,0.014628,0.007741,0.006413,0.003588,0.006863,0.013593,0.021352,0.007033,0.015059,-0.000824,-0.000000,0.030771,-0.000743,0.000713,-0.005425,0.000024,-0.001865,-0.030077,0.027517,-0.008362,0.005013,0.004071,-0.005606,0.002782,-0.005673,0.007122,-0.007339,-0.002133,-0.004721,-0.000270,0.000279,0.000087,0.000035,0.000429,0.001019,-0.000003,0.000041,0.000019,-0.000044,-0.000090,0.000214,0.000083,0.000226,0.107960,0.004401,0.390562,0.089907,0.036599,0.644081,0.009836,0.177625,2.710753,1.161215,0.711636,0.591757,0.370587,0.499120,0.325267,0.295120,0.309623,0.281735,0.227159,0.237637,0.219402,0.018702,0.003193,0.018592,0.027737,0.020202,0.011915,0.007297,0.005924,0.007923,0.013211,0.026267,0.009859,0.010147,0.096072,0.004812,0.469338,0.094192,0.040985,0.753966,0.012326,0.196434,2.085371,1.399486,0.685039,0.575106,0.452710,0.424227,0.382103,0.354387,0.361658,0.333253,0.261483,0.303357,0.293788,0.019827,0.004264,0.022691,0.038256,0.024408,0.015208,0.008467,0.006261,0.009399,0.018428,0.031689,0.012824,0.012693,NEGATIVE
0.139284,0.010608,3.007974,0.230969,0.204501,0.996162,0.013043,0.204864,-30.634074,1.642209,-0.135636,-0.631389,-0.447432,0.287045,-0.174804,-0.081574,-0.230593,-0.240043,-0.021591,-0.038924,0.028904,0.012679,0.006673,0.019790,0.019616,0.026626,0.016873,0.020717,0.005305,0.007138,0.009205,0.015281,0.006799,0.020981,0.000547,-0.000000,0.007623,0.001072,0.000491,0.009371,-0.000032,0.000744,-0.023235,-0.013417,-0.005604,-0.000945,0.009433,0.001209,-0.000560,0.000691,-0.002579,0.001076,0.003041,0.000531,-0.005471,-0.000374,0.000010,-0.000014,-0.000214,0.000303,-0.000009,0.000182,-0.000053,-0.000149,-0.000295,-0.000118,0.000060,0.000000,0.068685,0.011361,0.384671,0.066206,0.030917,0.488442,0.010178,0.124800,3.145066,0.948536,0.745425,0.596345,0.408430,0.380661,0.303548,0.288685,0.275378,0.273856,0.286831,0.283879,0.278611,0.015431,0.010014,0.022254,0.023459,0.032485,0.023497,0.022828,0.007146,0.010273,0.009782,0.019319,0.010104,0.013176,0.058785,0.008776,0.528747,0.064562,0.034486,0.473013,0.012520,0.124954,2.288694,1.016497,0.651554,0.615674,0.391267,0.365261,0.330392,0.314133,0.287678,0.294868,0.272102,0.302748,0.298263,0.019266,0.012837,0.028043,0.028263,0.033652,0.024578,0.025255,0.008829,0.011364,0.011059,0.022782,0.012588,0.013634,NEGATIVE
0.185834,0.011124,2.970431,0.263270,0.207639,1.143093,0.013105,0.280482,-30.151203,1.625404,0.161816,-0.979324,-0.372538,0.179204,-0.118070,0.012498,-0.195300,-0.206159,-0.117799,-0.256202,-0.107917,0.011967,0.008548,0.030782,0.027912,0.018060,0.009402,0.010633,0.004490,0.004039,0.007762,0.010606,0.007154,0.016922,-0.001949,-0.000006,0.020691,-0.003012,0.000364,-0.015249,-0.000013,-0.007046,-0.062208,0.025113,-0.014876,0.018494,0.005085,-0.005833,0.005091,-0.002692,-0.000334,-0.004143,-0.003264,-0.000871,0.000611,0.000313,-0.000010,-0.000062,0.000729,0.000312,0.000015,-0.000025,0.000010,0.000067,0.000174,0.000361,0.000038,0.000192,0.130120,0.015180,0.424241,0.112699,0.039930,0.712006,0.012429,0.207844,4.143339,1.193696,0.851843,0.716603,0.484752,0.456434,0.366441,0.291066,0.259911,0.299775,0.263139,0.281323,0.270998,0.012871,0.012621,0.029368,0.027779,0.019309,0.011865,0.012875,0.009558,0.004138,0.008571,0.013692,0.009914,0.010974,0.102223,0.013087,0.521653,0.088838,0.040403,0.618759,0.014067,0.179229,2.368020,1.222562,0.784523,0.617834,0.533018,0.441696,0.357393,0.309945,0.323373,0.326949,0.264505,0.298852,0.260166,0.016406,0.014503,0.033140,0.028755,0.024416,0.015211,0.016297,0.012983,0.005570,0.009754,0.017311,0.014025,0.010927,NEGATIVE
0.129975,0.038496,2.698731,0.186748,0.172157,0.759950,0.016506,0.167063,-24.979333,1.930819,-0.761837,-0.878885,-0.688135,0.429613,-0.119319,-0.186834,0.017995,-0.303914,0.198646,-0.147439,-0.239809,0.017766,0.003703,0.007982,0.012582,0.011087,0.016352,0.026078,0.010453,0.008046,0.009048,0.009851,0.020429,0.018738,-0.005851,0.005380,0.055340,-0.006382,-0.001553,-0.075205,0.000190,-0.015875,0.552575,0.045535,-0.025370,-0.062413,0.020998,0.033784,0.000839,0.000314,-0.011332,0.000939,0.030332,-0.017143,0.006104,-0.000373,-0.000080,0.000249,-0.000339,-0.000151,-0.000435,-0.000278,0.005476,0.000260,-0.000240,-0.000272,-0.000374,0.001289,0.074485,0.032986,0.770379,0.074801,0.042271,0.534650,0.010470,0.121762,2.771272,1.062210,0.704018,0.509475,0.514160,0.534132,0.407145,0.354218,0.329329,0.219374,0.287737,0.261565,0.279612,0.024159,0.004406,0.008259,0.014214,0.013793,0.025347,0.039734,0.018872,0.008204,0.007714,0.008161,0.025331,0.013362,0.089795,0.020265,0.874326,0.084155,0.045757,0.666560,0.013754,0.142698,1.968029,1.318404,0.631416,0.565372,0.395867,0.607553,0.490306,0.451812,0.434927,0.253183,0.308458,0.283043,0.278915,0.031002,0.006197,0.010279,0.016187,0.018145,0.035958,0.029748,0.015392,0.007877,0.009922,0.008824,0.028799,0.012836,NEGATIVE
0.149898,0.012545,3.009066,0.231343,0.200413,1.060924,0.011874,0.225844,-30.197035,1.775452,0.086898,-0.527016,-0.599468,0.446514,-0.122968,0.002422,-0.048304,-0.133674,0.017092,0.000187,-0.027100,0.010236,0.004502,0.020182,0.015414,0.022387,0.008160,0.013666,0.006312,0.012668,0.019514,0.018511,0.005220,0.016481,-0.000399,-0.000000,0.003826,0.000193,0.000632,0.002046,0.000020,0.000344,-0.039128,0.016828,0.000875,0.001507,-0.000475,-0.002383,0.004730,-0.002038,-0.001493,0.001650,-0.004709,-0.000054,-0.000119,0.000027,-0.000015,0.000107,0.000008,0.000228,0.000057,0.000034,-0.000002,0.000049,0.000079,0.000005,0.000052,0.000039,0.084466,0.014166,0.406472,0.084706,0.042206,0.646175,0.010297,0.140716,3.927773,1.102832,0.859931,0.518643,0.587847,0.481157,0.306930,0.277905,0.230882,0.218155,0.207231,0.186359,0.209765,0.011066,0.004240,0.022321,0.016479,0.024746,0.008274,0.017314,0.010618,0.017880,0.020785,0.021606,0.005577,0.010715,0.069443,0.012515,0.579762,0.063259,0.031718,0.561101,0.010955,0.132820,2.065797,1.099410,0.698560,0.519499,0.448022,0.429254,0.361361,0.308658,0.272930,0.285698,0.240579,0.228078,0.237043,0.013736,0.005657,0.028573,0.021446,0.024168,0.009828,0.017397,0.011188,0.018858,0.023336,0.026385,0.006899,0.011570,NEGATIVE
0.213976,0.007055,2.957358,0.294562,0.220455,1.446818,0.007891,0.322361,-33.331650,1.326262,0.030354,-0.508377,-0.190494,0.264196,-0.192570,-0.079806,0.017468,-0.097585,0.150039,-0.143621,-0.081179,0.016227,0.009096,0.014896,0.012566,0.018437,0.011267,0.014670,0.004524,0.006135,0.015996,0.017017,0.011131,0.012209,-0.004693,-0.000044,0.024416,-0.005459,0.000960,-0.018442,-0.000034,-0.012931,-0.107096,0.029268,-0.016228,0.026980,-0.000738,-0.011388,0.003852,-0.004525,0.003004,0.008474,0.006608,0.014177,0.006204,-0.000063,-0.000334,0.000392,0.000089,0.000374,0.000135,0.000759,-0.000025,0.000024,0.000450,0.001072,0.000103,0.000194,0.107402,0.012127,0.529478,0.110878,0.043225,0.575564,0.007627,0.182796,5.289121,1.083595,0.500842,0.697681,0.390985,0.352015,0.240721,0.223630,0.263017,0.298690,0.259668,0.249926,0.197795,0.021354,0.013427,0.013824,0.012626,0.017654,0.012841,0.017101,0.004985,0.005700,0.013772,0.011226,0.014554,0.007176,0.078794,0.008405,0.747659,0.084888,0.040430,0.526844,0.007687,0.160803,2.816502,1.087061,0.549420,0.592305,0.468033,0.318174,0.255096,0.255487,0.300587,0.328151,0.327666,0.302737,0.213289,0.028634,0.014766,0.017672,0.016298,0.019519,0.015939,0.018340,0.005907,0.008212,0.015110,0.013562,0.017393,0.008252,NEGATIVE
0.197278,0.014708,3.037247,0.274231,0.226644,1.349357,0.007092,0.296125,-31.952920,1.441898,0.065257,-0.406633,-0.491312,0.488407,-0.261598,-0.002276,0.005415,-0.259970,0.175910,-0.162329,-0.000098,0.016251,0.005477,0.018222,0.011688,0.022027,0.015641,0.008355,0.008806,0.003995,0.011572,0.020021,0.008097,0.013582,0.000063,-0.000000,-0.001818,-0.000089,-0.000102,0.006230,0.000023,-0.001375,-0.004606,-0.007023,0.000028,0.000778,0.000856,0.008668,-0.018341,0.001422,0.017042,-0.002609,-0.000151,-0.001295,-0.009413,-0.000583,-0.000341,-0.000378,0.000118,-0.001514,-0.000395,-0.000073,0.000061,0.000130,-0.000449,0.002024,0.000536,0.000092,0.103988,0.024296,0.283612,0.070140,0.035576,0.464501,0.004034,0.150576,2.738162,0.655256,0.428805,0.488264,0.390623,0.439861,0.268349,0.225388,0.220639,0.318150,0.220997,0.206449,0.236022,0.015554,0.004005,0.013000,0.006156,0.016692,0.025095,0.007087,0.016844,0.004090,0.011679,0.027281,0.007924,0.009123,0.103314,0.022174,0.368077,0.070138,0.033485,0.525002,0.004986,0.163801,1.969291,0.738552,0.499725,0.425554,0.416829,0.373176,0.338330,0.315427,0.289018,0.336171,0.217909,0.272556,0.225955,0.020109,0.004993,0.013899,0.009606,0.020188,0.035782,0.010306,0.016372,0.005964,0.012576,0.026368,0.011944,0.011359,NEGATIVE
0.170065,0.013752,2.921317,0.229338,0.189117,0.932400,0.015123,0.223056,-27.560103,1.824451,-0.475637,-0.865376,-0.522712,0.258142,-0.113249,0.030696,-0.089481,-0.261938,0.018709,-0.080111,0.030266,0.008962,0.004422,0.024381,0.029424,0.012892,0.013024,0.007554,0.009923,0.007288,0.011199,0.013374,0.004659,0.018613,0.000873,-0.000309,0.000719,-0.000164,0.000346,-0.001054,0.000067,-0.000100,-0.061661,0.027573,0.006807,0.012554,-0.005754,-0.005823,0.006827,-0.007335,0.005559,0.004954,-0.004527,0.004056,0.000625,0.000020,-0.000007,0.000753,0.000257,-0.000182,-0.000531,-0.000023,0.000003,0.000953,0.000461,0.000007,0.000004,0.000150,0.140523,0.014724,0.444045,0.122140,0.046134,0.720653,0.010123,0.202886,3.136748,1.174018,0.969637,0.681785,0.457993,0.322493,0.311763,0.344150,0.265617,0.322350,0.347781,0.288363,0.254859,0.014204,0.006858,0.023439,0.029708,0.014689,0.019718,0.008359,0.013469,0.007606,0.014496,0.015609,0.005645,0.012975,0.123113,0.015584,0.597566,0.109726,0.049357,0.752146,0.013019,0.208107,2.362153,1.154582,0.911324,0.767753,0.475506,0.448939,0.398696,0.388192,0.281515,0.377638,0.369654,0.305313,0.331196,0.015546,0.008637,0.025814,0.034845,0.019033,0.023560,0.011020,0.015171,0.009107,0.020677,0.020980,0.007571,0.014241,NEGATIVE
0.198294,0.014565,2.996570,0.258428,0.190770,1.121302,0.014386,0.288095,-28.208077,1.447453,-0.085594,-0.765485,-0.546974,0.325812,-0.131899,-0.053040,-0.069100,-0.256490,0.029297,-0.120550,-0.070946,0.009147,0.004823,0.015005,0.016280,0.013026,0.007527,0.008144,0.006262,0.006006,0.015647,0.022966,0.006251,0.014943,0.001227,-0.000027,-0.002877,0.001393,0.000665,0.010563,0.000044,0.001474,-0.035539,-0.029859,0.000632,0.004866,0.010683,0.000393,-0.001794,0.009447,-0.003742,0.004572,0.000838,-0.002664,0.003126,-0.000058,0.000013,0.000033,0.000045,-0.000056,0.000013,0.000030,-0.000018,0.000021,-0.000353,-0.000691,-0.000002,-0.000191,0.158312,0.015689,0.367205,0.139225,0.045063,0.774439,0.012335,0.229367,3.259460,1.446882,0.814545,0.658529,0.468624,0.395277,0.366129,0.332386,0.310507,0.254620,0.232148,0.219732,0.263332,0.010848,0.005502,0.018737,0.023780,0.016512,0.009417,0.010156,0.012054,0.007949,0.019165,0.032034,0.011302,0.010659,0.116315,0.014760,0.474272,0.109162,0.043798,0.712111,0.015238,0.194691,2.235752,1.297605,0.806343,0.618711,0.523909,0.422019,0.378301,0.345310,0.334600,0.315010,0.268640,0.262620,0.274658,0.012527,0.007427,0.021266,0.025067,0.020961,0.011969,0.012028,0.014356,0.010173,0.021741,0.032521,0.012661,0.010956,NEGATIVE
0.285795,0.009603,2.746252,0.320400,0.192457,1.498861,0.010810,0.394667,-29.587985,1.121588,-0.544163,-1.092482,-0.229003,0.110586,-0.168019,-0.059749,-0.133482,-0.312770,0.025593,-0.246867,-0.060505,0.011956,0.006010,0.015677,0.010683,0.010524,0.011023,0.010379,0.006020,0.007370,0.006948,0.009239,0.005291,0.008966,-0.001106,-0.000048,-0.051191,0.000347,-0.004003,-0.019239,-0.000761,-0.006083,-0.284668,-0.108248,-0.010048,-0.039619,0.048281,-0.008881,0.017336,-0.000537,-0.015211,0.025091,0.009061,0.003034,0.012404,-0.000671,-0.000132,-0.000136,0.000085,0.000073,-0.000182,-0.000217,-0.000142,-0.000253,-0.000226,-0.000649,-0.000154,-0.000008,0.079895,0.018434,0.541084,0.084273,0.034776,0.504883,0.007306,0.144421,2.867073,1.060899,0.663039,0.684059,0.285583,0.369144,0.341765,0.266462,0.259045,0.239833,0.254216,0.219170,0.251949,0.016143,0.007095,0.015400,0.007928,0.009812,0.010004,0.007958,0.006774,0.005614,0.007221,0.012287,0.005207,0.005915,0.079514,0.018608,0.767463,0.093749,0.044321,0.560735,0.007519,0.159606,3.075513,1.607626,0.792043,0.858498,0.285302,0.402771,0.326338,0.341429,0.352672,0.288386,0.305193,0.245157,0.292544,0.023840,0.009913,0.021296,0.011209,0.012058,0.012881,0.011774,0.010011,0.008310,0.010237,0.017068,0.007720,0.007496,NEGATIVE
0.183724,0.004119,2.995391,0.262452,0.217310,1.473434,0.008863,0.272807,-33.174332,1.439480,-0.540023,-0.305019,-0.301312,0.062522,-0.055122,-0.240102,-0.088857,-0.221098,0.045697,-0.177605,-0.127155,0.017573,0.006217,0.016646,0.015350,0.019166,0.015498,0.011422,0.009080,0.008553,0.010549,0.013120,0.009605,0.014209,0.000302,-0.000000,0.000342,0.000415,0.000621,-0.001117,0.000038,0.000693,-0.017652,0.005310,-0.003818,0.001547,-0.002425,-0.002201,0.001879,-0.002687,0.000907,-0.002442,-0.001169,0.000466,-0.000994,0.000120,0.000030,0.000073,0.000040,-0.000073,0.000024,-0.000035,-0.000018,-0.000021,-0.000057,-0.000082,0.000094,0.000016,0.090137,0.004840,0.478184,0.091837,0.043145,0.571786,0.007051,0.165525,3.487862,0.976711,0.682712,0.468132,0.393886,0.342909,0.260463,0.224695,0.230403,0.229380,0.226031,0.227981,0.211617,0.018701,0.007552,0.016703,0.014283,0.018524,0.016782,0.012945,0.009744,0.008225,0.009290,0.013475,0.012576,0.009526,0.077542,0.004928,0.658245,0.081221,0.038518,0.488079,0.007319,0.164059,1.982062,0.950068,0.605955,0.495213,0.406929,0.377800,0.279308,0.271672,0.283614,0.257388,0.265188,0.268844,0.226218,0.018365,0.010145,0.022008,0.018632,0.019221,0.021027,0.017330,0.013281,0.010019,0.011520,0.015466,0.016276,0.008950,NEGATIVE
0.158526,0.008872,2.884175,0.221724,0.182522,1.037833,0.013872,0.233745,-27.673048,1.592012,-0.473072,-0.845478,-0.644200,0.406530,-0.155754,-0.121790,-0.084632,-0.253132,0.006508,-0.175825,-0.257547,0.016070,0.008063,0.026336,0.012231,0.009228,0.013401,0.012350,0.013665,0.008044,0.008295,0.009933,0.017948,0.018046,-0.002300,0.000040,0.000773,-0.000653,-0.000044,-0.035596,0.000120,-0.005854,0.049252,-0.000434,0.019191,-0.033087,-0.015906,0.013734,0.008016,0.006841,-0.012914,0.000361,-0.004485,0.003064,-0.003398,-0.000032,-0.000040,0.004238,-0.000592,-0.000080,-0.000019,-0.000223,0.001976,0.000009,-0.000182,-0.000070,-0.000796,0.001180,0.102804,0.009411,0.549618,0.097591,0.044543,0.671165,0.010307,0.175543,3.254494,0.977136,0.731857,0.633440,0.399795,0.414048,0.330580,0.312098,0.292107,0.296571,0.263296,0.232570,0.278663,0.017268,0.011752,0.026539,0.014102,0.015236,0.019548,0.014830,0.012346,0.005838,0.010551,0.011313,0.022779,0.012254,0.106412,0.010814,0.741328,0.100410,0.045946,0.777273,0.013932,0.205812,3.154082,1.132186,0.707882,0.683239,0.424514,0.424006,0.391446,0.355376,0.330993,0.336108,0.289943,0.264570,0.300402,0.021973,0.015150,0.028529,0.016777,0.021357,0.022582,0.020109,0.012762,0.006625,0.014481,0.015533,0.023994,0.013166,NEGATIVE
0.129523,0.010229,3.064544,0.225022,0.214814,0.998103,0.011419,0.200102,-29.286583,1.633987,-0.589824,-0.715739,-0.356655,0.186791,-0.242193,-0.280224,-0.158076,-0.084238,-0.168488,-0.234425,-0.249572,0.021047,0.007757,0.017761,0.015445,0.013810,0.009496,0.015320,0.015136,0.020581,0.010332,0.018172,0.011134,0.018008,-0.000039,-0.000000,0.001442,0.000133,0.000048,0.003237,0.000058,0.000661,-0.010839,-0.001438,0.005597,0.002693,-0.003331,-0.002880,-0.001723,0.006236,0.005898,0.002772,-0.001092,-0.004829,-0.002801,0.000424,0.000088,0.000556,-0.000277,-0.000174,-0.000057,-0.000007,0.000417,-0.000410,-0.000025,0.000073,0.000031,0.000123,0.050706,0.015497,0.268161,0.045241,0.029001,0.393972,0.007873,0.107192,2.157132,0.530219,0.611064,0.442020,0.335243,0.356493,0.275892,0.270906,0.244281,0.228628,0.239576,0.262764,0.238076,0.021246,0.012422,0.020259,0.015334,0.017279,0.010552,0.019048,0.018161,0.026333,0.008884,0.014377,0.016670,0.009980,0.061862,0.017004,0.349678,0.055255,0.030968,0.470240,0.008414,0.138891,1.548714,0.681838,0.662602,0.424425,0.369571,0.403880,0.333920,0.309154,0.279642,0.251461,0.299417,0.291405,0.238828,0.027362,0.014396,0.022188,0.016735,0.018954,0.014414,0.023249,0.023684,0.032669,0.012276,0.018562,0.018752,0.011230,NEGATIVE
0.099236,0.021049,2.789982,0.181488,0.173751,0.777267,0.016477,0.158580,-26.097314,1.385281,-1.313717,-0.629819,-0.925904,0.597607,-0.096477,-0.250305,-0.093263,0.047107,-0.122457,-0.288788,-0.294630,0.015986,0.009679,0.016231,0.009679,0.008700,0.006177,0.040663,0.029345,0.014553,0.007128,0.009438,0.009885,0.024682,0.000787,0.000182,-0.012066,-0.001056,-0.003562,0.009851,0.000193,0.002482,0.203976,-0.060749,-0.030812,-0.024290,-0.009763,0.057027,-0.023372,0.009417,0.012367,0.005752,-0.004315,0.013034,-0.006617,-0.000561,-0.000034,-0.000352,-0.000256,-0.000341,0.000524,-0.000647,-0.001428,-0.000796,-0.000076,0.000029,-0.000157,-0.000379,0.025975,0.019381,0.538861,0.025914,0.035926,0.308888,0.009917,0.065018,2.619375,0.731574,0.647390,0.405473,0.491447,0.599949,0.495999,0.301378,0.313743,0.326025,0.323287,0.281079,0.240539,0.017345,0.013939,0.025514,0.012758,0.014740,0.006667,0.060219,0.042653,0.019079,0.007562,0.012705,0.012626,0.017894,0.024885,0.024604,0.779751,0.030490,0.038025,0.303393,0.013728,0.076489,2.445445,0.909016,0.664740,0.462662,0.491198,0.619342,0.563717,0.318253,0.357481,0.312716,0.368891,0.342210,0.271409,0.018382,0.019443,0.026912,0.012789,0.018721,0.007515,0.059538,0.044470,0.023957,0.009430,0.014997,0.014000,0.019935,NEGATIVE
